ID;MCC;DESCRIPTION;FACTOR;CATEGORY_ID
213CBF07-4E97-4AC1-B949-D4E9907D6FD7;742;Veterinary Services;0.108192;19ADC6EE-C548-4BCD-8728-E4175F4B04F9
F84C35BE-D438-4065-B18E-DBA8692D9A70;2741;Miscellaneous Publishing and Printing;0.093318;F7308C10-C5C8-4468-BC0E-EFFE90334EFC
147DEE5E-D3EC-46F8-B6DE-159CB6D459CF;4111;Local/Suburban Commuter Passenger Transportation – Railroads, Feries, Local Water Transportation.;0.52744;E302C064-0E36-4CD8-B76A-1E48D969E5E4
DA6D7576-142C-4004-8BA9-CEA864D8FDAC;4119;Ambulance Services;0.253575;E302C064-0E36-4CD8-B76A-1E48D969E5E4
F18F3E38-4671-4AAE-80E0-B65E587F7C20;4121;Taxicabs and Limousines;0.632928;E302C064-0E36-4CD8-B76A-1E48D969E5E4
56D79107-2A55-4040-A705-2F84C0794E40;4722;Travel Agencies and Tour Operations;0.075733;E302C064-0E36-4CD8-B76A-1E48D969E5E4
11FA862B-8C1F-4C00-A06E-43F046C8053F;4812;Telecommunications Equipment including telephone sales;0.360412;7065DEB3-804D-4E55-B3E8-E0BB45D70044
B591E05E-F634-46C8-B63A-4ECE09703B22;4829;Money Orders – Wire Transfer;0;7065DEB3-804D-4E55-B3E8-E0BB45D70044
D30124CE-4045-4EF8-B8F8-8B8DCE2CE710;4899;Cable and other pay television (previously Cable Services);0.208264;7065DEB3-804D-4E55-B3E8-E0BB45D70044
990C640D-BD86-49DE-81B2-371EB5E3BCCB;5045;Computers, Computer Peripheral Equipment, Software;0.249516;829C2951-26E3-4E68-A6BC-E85D369C9EFE
5CCD5765-3F64-42C2-9D88-552A70650E49;5085;Industrial Supplies, Not Elsewhere Classified;0.213003;829C2951-26E3-4E68-A6BC-E85D369C9EFE
8C4A1677-F71B-4F7C-8E79-BEADEE3A4D80;5122;Drugs, Drug Proprietors, and Druggist’s Sundries;0.307671;829C2951-26E3-4E68-A6BC-E85D369C9EFE
2631CC06-BA08-455C-A141-159345613BFD;5137;Men’s Women’s and Children’s Uniforms and Commercial Clothing;0.45982;829C2951-26E3-4E68-A6BC-E85D369C9EFE
B3AD93CC-CC21-49EF-9727-9CF8B2696D5A;5139;Commercial Footwear;0.551784;829C2951-26E3-4E68-A6BC-E85D369C9EFE
E25906CC-17F2-46CE-AA0A-664208D55941;5172;Petroleum and Petroleum Products;1.71417;829C2951-26E3-4E68-A6BC-E85D369C9EFE
0E9877FA-C2C9-4D6A-93A8-D0F3D88CFB5A;5231;Glass, Paint, and Wallpaper Stores;0.890784;829C2951-26E3-4E68-A6BC-E85D369C9EFE
66BDCACD-4946-440B-8230-391472347887;5251;Hardware Stores;0.936;829C2951-26E3-4E68-A6BC-E85D369C9EFE
