ID;ACCOUNT_ID;CURRENCY;AMOUNT;DATE;DESCRIPTION;MCC_ID
A3C60FE6-3170-4D08-AD17-82D97F72B560;8fbaa8ca-6cf3-4ea4-9764-82e6b841480d;EUR;50.77;2020-01-01T19:58:00z;Meat Provisioners – Freezer and Locker;4CBFBAFB-D961-46D0-993A-3D194C2BF3F7
CDE1441C-67C9-4DC3-8D11-692390C4DD86;8fbaa8ca-6cf3-4ea4-9764-82e6b841480d;EUR;73.25;2020-01-02T20:59:00z;Grocery Stores, Supermarkets;49F4C309-C96F-4107-A1A3-F56AAE73D13D
C502E0F1-7217-4A06-A264-8D192CD52A8C;8fbaa8ca-6cf3-4ea4-9764-82e6b841480d;EUR;14.39;2020-01-03T06:45:00z;Cable and other pay television (previously Cable Services);D30124CE-4045-4EF8-B8F8-8B8DCE2CE710
015DB71B-1C1D-4289-BA4B-1BD36CC26861;8fbaa8ca-6cf3-4ea4-9764-82e6b841480d;EUR;7.19;2020-01-03T02:27:00z;Digital Goods: Media, Books, Movies, Music;FFD40345-EAB2-435E-AD07-0203A440662E
BAD35556-E338-49C6-86AB-DAE796872166;8fbaa8ca-6cf3-4ea4-9764-82e6b841480d;EUR;10;2020-01-04T12:21:00z;Financial Institutions – Manual Cash Disbursements;3BB864A3-08E0-4467-98E2-5E1DAE22E386
F97D2872-59E2-4277-853F-5262CE432184;8fbaa8ca-6cf3-4ea4-9764-82e6b841480d;EUR;179.25;2020-01-07T23:48:00z;Sporting Goods Stores;1653FF67-BA55-47D6-99E4-AA651A9D1AEB
B58E401F-F275-4F14-910B-C359D5F315FA;8fbaa8ca-6cf3-4ea4-9764-82e6b841480d;EUR;13.71;2020-01-08T01:06:00z;Service Stations ( with or without ancillary services);CE4473BA-8534-40C7-80C2-1781C11774A9
03A74C41-69DD-4C91-BA2C-6716D67FA789;8fbaa8ca-6cf3-4ea4-9764-82e6b841480d;EUR;58.4;2020-01-09T11:12:00z;Grocery Stores, Supermarkets;49F4C309-C96F-4107-A1A3-F56AAE73D13D
7BE462DC-32C2-4030-8686-01F072C77C3F;8fbaa8ca-6cf3-4ea4-9764-82e6b841480d;EUR;125.33;2020-01-09T16:06:00z;Grocery Stores, Supermarkets;49F4C309-C96F-4107-A1A3-F56AAE73D13D
5988EEC4-0908-4701-8CA8-13A4495FD0D2;8fbaa8ca-6cf3-4ea4-9764-82e6b841480d;EUR;34.98;2020-01-10T00:50:00z;Grocery Stores, Supermarkets;49F4C309-C96F-4107-A1A3-F56AAE73D13D
